エリア	施設	タイムスタンプ	個人情報保護の方針について	全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）	石川県内での宿泊数をお答えください	石川県内での宿泊エリアをお答えください	石川県外での宿泊エリアをお答えください	今回はどなたと石川県を訪れていますか？	今回の石川県の訪問目的は何ですか？（複数選択可）	石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください	次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください	前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。	上記満足度の理由について、具体的に教えてください	今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）	今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり） ※石川県外からの交通費、石川県内での交通費を含む。	今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり） ※飲食、買い物、体験・観光などの消費額合計 ※宿泊費、交通費を除く	これまでに   当施設   には何度訪れたことがありますか。	今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）	当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(前)	当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(後)	当施設    における、消費総額をお答えください。（予定でも可/１人あたり）	当施設 における、商品・サービスの満足度をお答えください	上記満足度の理由につい具体的に教えてください。(サービス)	当施設   における、施設全体の満足度をお答えください。	上記満足度の理由につい具体的に教えてください。(施設全体)	当施設   において、不便を感じたり困ったことはありましたか。	上記不便を感じたり、困ったことについて具体的に教えてください	あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。	あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください	今後、再び石川県を訪れたいと思いますか	あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。  (※必須項目です。無ければ「特になし」とご記入ください)	性別をお答えください	生まれた年をお答えください	お住いの都道府県をお答えください	お住いの市区町村をお答えください 例：新宿区	世帯年収をお答えください	アンケートに回答しようと思った動機をお答えください	旅全体の総合満足度を教えてください。	石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。 ０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。	今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
能登エリア	のと鉄道（通常）	2026/01/04	同意する	4泊以上	4泊以上	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	小学生以下連れの家族	地元の美味しいものを食べる, スキー・スノボ・マリンスポーツ, 友人・親戚を訪ねる	新幹線, 在来線	在来線, 路線バス	とても満足	駅の売店の商品が充実しており、地元の特産品を使ったものが魅力的でした。現在はもう廃線になった穴水駅以北の駅名のマグネットやキーホルダーが良かったです。	20,000円以上 30,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	11回目以上	インターネット・アプリ, Instagram, 友人・知人	選択なし/該当施設なし	どんたく、穴水大宮	選択なし／該当施設なし	金沢駅	1,000円未満	とても満足	ソフトクリームも食べたかったのですが、時間がなく断念。	とても満足	商品の品揃えが豊富	感じなかった		8	車窓から見える雪景色が最高でした。海岸線沿いをゆっくりと各駅停車で進むのが魅力です。	また行きたい（1年以内）	冬の牡蠣、最高です！宿泊施設がたくさんあるとより訪れやすいてす。	女	1984	愛知県	安城市	900万円以上 1,000万円未満	ひゃくまんさんが好き	とても満足	8	都会の喧騒を離れ、ゆっくりしたい人、海産物が好きな人、電車好きな人におすすめです。地元のスーパーも、味があって良いです。
能登エリア	のとじま水族館	2026/01/04	同意する	1泊	1泊	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	小学生以下連れの家族	温泉や露天風呂	自家用車	自家用車	とても満足	色々な魚に会える	5,000円以上 10,000円未満	3,000円以上 5,000円未満	5,000円以上 10,000円未満	6～10回目	友人・知人	道の駅のとじま		能登食祭市場		3,000円以上 5,000円未満	満足	可愛いぬいぐるみなど沢山ある	とても満足	全体的に綺麗	感じた	屋根がない場所を移動するのが大変だった	10		また行きたい（1年以内）	特になし	男	1987	富山県	西礪波郡動橋町	500万円以上 600万円未満	景品が当たる	とても満足	9	色々な魚に触れ合える
能登エリア	のとじま水族館	2026/01/04	同意する	4泊以上	3泊	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	福井県	小学生以下連れの家族	温泉や露天風呂, 地元の美味しいものを食べる, 各種体験（手作り、果物狩りなど）, スキー・スノボ・マリンスポーツ	自家用車	自家用車			50,000円以上 100,000円未満	30,000円以上 40,000円未満	40,000円以上 50,000円未満	2～5回目	観光パンフレット・ポスター, インターネット・アプリ	のとじま水族館		道の駅のとじま		10,000円以上 20,000円未満	とても満足	こたつがあったり、他とは違う楽しさ！	とても満足	いろいろな工夫されていてとても楽しかったです	感じなかった		10	またきたい	また行きたい（1年以内）	なし	女	1979	埼玉県	越谷市	800万円以上 900万円未満	ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい	とても満足	10	何よりご飯が美味しい。おしゃれ。買い物も楽しい。
能登エリア	のと鉄道（通常）	2026/01/04	同意する	4泊以上	4泊以上	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	岐阜県	親	温泉や露天風呂, 地元の美味しいものを食べる, アウトドア（海水浴、釣り、登山など）, 友人・親戚を訪ねる	県外から訪れていない（石川県内在住）	在来線	とても満足	運転手が優しくとても分かりやすいアナウンスをしていた	使わない	1,000円以上 3,000円未満	3,000円以上 5,000円未満	11回目以上	観光展・物産展, TV・ラジオ番組やCM, 観光パンフレット・ポスター, インターネット・アプリ, Instagram, 友人・知人	能登食祭市場		のとじま水族館		1,000円以上 3,000円未満	とても満足	この地域の魚がたくさんいて室内イルミネーションのようなとこかとても感動した	とても満足	地域で有名な海の幸が並んでいて美味しかった	感じなかった		10	地域の人がたくさんいてみんな優しく教えてくれたり接してくれた	石川県在住	和倉駅の近くにお土産屋さんがあると助かる	男	2008	石川県	七尾市	800万円以上 900万円未満	動く３Dひゃくまんさんを見たい, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい	満足	10	うみと景色と食べ物なおいしち
能登エリア	のと鉄道（震災語り部列車）	2026/01/04	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	山代温泉	団体旅行	その他スポーツ（ゴルフ、テニスなど）	県外から訪れていない（石川県内在住）	自家用車	満足	ウェルカムドリンクや夕食の際、沢山の種類の酒が自由に飲めた。	10,000円以上 20,000円未満	3,000円以上 5,000円未満	5,000円以上 10,000円未満	初めて	友人・知人	選択なし/該当施設なし	山代温泉	選択なし／該当施設なし	能登ではない	50,000円以上 100,000円未満	満足	施設は古い、でも友人で集まって、飲み会するには、部屋も広く、良かったです	満足	建物は老朽、風呂もギリシャ風？だが、古かったし、故障もあり	感じなかった		8	酒飲みには、安くてよい。何より酒類の種類が多く、試飲出来て大満足　	石川県在住	輪島で吉野家、たかのべーかりー、ロンシャンいとう等、来客があった時自宅で食べさせたり、土産に持たせたりり、イベントに買ったりの定番の店がなぬなり、不便だし、淋しいです	女	1957	石川県	輪島市	200万円以上 300万円未満	景品が当たる	満足	8	今回は、スポーツ仲間と宿泊したが、夫は、酒飲みなので、一緒にいけば、喜ぶと思う
能登エリア	のとじま水族館	2026/01/04	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	親	地元の美味しいものを食べる, 名所、旧跡の観光	自家用車	自家用車	とても満足	空いていて良かった	使わない	使わない	使わない	2～5回目	TV・ラジオ番組やCM	のとじま水族館		選択なし／該当施設なし		1,000円以上 3,000円未満	とても満足	魚がいっぱいいて楽しかった	とても満足	綺麗でした	感じなかった		9		また行きたい（1年以内）	能登牛、のどぐろ、お寿司	女	1999	石川県	金沢市	300万円以上 400万円未満	景品が当たる	とても満足	9	家族が楽しそうにしていて嬉しかった
能登エリア	のとじま水族館	2026/01/04	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	小学生以下連れの家族	地元の美味しいものを食べる, まちあるき、都市散策	自家用車	自家用車			使わない	1,000円以上 3,000円未満	1,000円以上 3,000円未満	11回目以上	Instagram, Facebook, ブログ	道の駅のとじま		選択なし／該当施設なし		使わない	とても満足	年間パスポートの安さ、復興からの努力	とても満足	同じく	感じなかった		10		石川県在住	石川県央地方にもう少し室内遊び場があるとよい	男	1987	石川県	かほく市	600万円以上 700万円未満	景品が当たる	とても満足	10	水族館のサービス
能登エリア	のと鉄道（通常）	2026/01/04	同意する	日帰り	4泊以上	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	友人	その他スポーツ（ゴルフ、テニスなど）	県外から訪れていない（石川県内在住）	徒歩			使わない	使わない	使わない	11回目以上	友人・知人	能登食祭市場		千里浜なぎさドライブウェイ		使わない	とても満足	快適	とても満足	たのしかった	感じなかった		10		石川県在住	特になし	男	2010	石川県	七尾市	500万円以上 600万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	とても満足	9	電車が快適だから薦めたいとかんじた
能登エリア	のと鉄道（通常）	2026/01/04	同意する	日帰り	4泊以上	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	友人	その他スポーツ（ゴルフ、テニスなど）	県外から訪れていない（石川県内在住）	徒歩			使わない	使わない	使わない	11回目以上	友人・知人	能登食祭市場		千里浜なぎさドライブウェイ		使わない	とても満足	良いから	とても満足	良いから	感じなかった		3	なし	石川県在住	「特になし」	男	2009	石川県	七尾市	400万円以上 500万円未満	景品が当たる	とても満足	9	駅
能登エリア	のとじま水族館	2026/01/04	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	金沢からの日帰り	中学生以上連れの家族	家族で観光	自家用車	自家用車			使わない	1,000円以上 3,000円未満	5,000円以上 10,000円未満	2～5回目	新聞・雑誌・ガイドブック, 友人・知人	道の駅のとじま		道の駅のとじま		5,000円以上 10,000円未満	満足	障害者用の駐車場からの入館までがちゃんと整備されている	満足		感じなかった		8		また行きたい（1年以内）	雨や雪でも快適に過ごせる施設	女	1961	石川県	金沢市	300万円以上 400万円未満	景品が当たる, ひゃくまんさんが好き	満足	8	バリアフリーがちゃんとなされていて綺麗てした
能登エリア	のとじま水族館	2026/01/04	同意する	日帰り	石川県内には宿泊しない	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	富山県	小学生以下連れの家族	友人・親戚を訪ねる	自家用車	自家用車	とても満足		3,000円以上 5,000円未満	1,000円以上 3,000円未満	10,000円以上 20,000円未満	6～10回目	観光展・物産展, 観光パンフレット・ポスター, 観光連盟やDMOのHP	能登食祭市場		禄剛崎灯台		3,000円以上 5,000円未満	とても満足		とても満足		感じた		5		また行きたい（1年以内）	特になし	男	1983	富山県	高岡市	600万円以上 700万円未満	石川県の雑学を知りたい	満足	5	兼六園と歴史ある街並み
能登エリア	のとじま水族館	2026/01/04	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	小学生以下連れの家族	テーマパーク（遊園地、動物園、博物館など）	県外から訪れていない（石川県内在住）	自家用車			使わない	使わない	3,000円以上 5,000円未満	11回目以上	インターネット・アプリ	選択なし/該当施設なし		能登食祭市場		3,000円以上 5,000円未満	満足		とても満足	のとじま水族館が大好き	感じなかった		10		石川県在住	特になし	女	1990	石川県	金沢市	300万円以上 400万円未満	景品が当たる, ひゃくまんさんが好き	満足	10	
能登エリア	のとじま水族館	2026/01/04	同意する	1泊	1泊	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	小学生以下連れの家族	温泉や露天風呂	自家用車	自家用車	どちらでもない	とくになし。	50,000円以上 100,000円未満	5,000円以上 10,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	道の駅のとじま		選択なし／該当施設なし		5,000円以上 10,000円未満	満足	水族館が良かった！	満足	復興の様子の展示が良かった！	感じた	雨の移動	5	レストランの食事の提供時間が早かった。	機会があれば行きたい	お刺身	女	1982	福井県	福井市	700万円以上 800万円未満	景品が当たる	満足	5	遠く無いから良い。
能登エリア	のと鉄道 POKÉMON with YOUトレイン	2026/01/04	同意する	4泊以上	2泊	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	新潟	恋人	温泉や露天風呂, 地元の美味しいものを食べる	新幹線, 在来線	自家用車	とても満足	久しぶりに列車に乗ったが、移動もスムーズで快適に過ごすことができた。またたまたまポケモン列車に乗ることができ嬉しかった。内装まで可愛い！	20,000円以上 30,000円未満	3,000円以上 5,000円未満	30,000円以上 40,000円未満	2～5回目	観光パンフレット・ポスター, Instagram	能登食祭市場		道の駅のとじま		1,000円以上 3,000円未満	満足	のと鉄道のかわいさ。森や海も見えて通る道の景色の良さ	とても満足	上記の通りです！！	感じなかった		8	のとのお土産の種類で、ナマモノ以外の種類もさらに増やして選択肢を増やして欲しい。	また行きたい（1年以内）	能登半島のお土産の種類が増えると嬉しいです。	女	1995	新潟県	新潟市	300万円以上 400万円未満	景品が当たる, ひゃくまんさんが好き	とても満足	10	金沢と能登に行ったが、全く違う良さがあり充実していた。風景と買い物とゆったり楽しめる食事は金沢で、自然の景色や海鮮、アクティビティを楽しむのは能登で進めたいと思った！
能登エリア	のとじま水族館	2026/01/04	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	自分ひとり	地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策, ラブライブ！蓮ノ空女学院スクールアイドルクラブのコラボ事業(スタンプラリー、のとじま水族館)	新幹線	在来線, 路線バス	不満	中心地から距離があるので当然ながら、時間がかかり過ぎる。また、路線バスはサスペンションが機能していないのか寒さによるものなのか分からないが、路上の僅かな段差を通る度に大きな音が響いていた。	20,000円以上 30,000円未満	30,000円以上 40,000円未満	20,000円以上 30,000円未満	初めて	インターネット・アプリ, 友人・知人, 当該施設のHP	選択なし/該当施設なし	尾山神社	選択なし／該当施設なし	金沢文芸館	1,000円以上 3,000円未満	とても満足	各展示に工夫が凝らされていて飽きなかった。	満足	複数ある飲食店のうちほとんどが営業していなかった	感じた	同上	8	先述の通り営業できていない飲食店があり、活気に乏しかった。	また行きたい（1年以内）	ラブライブ！蓮ノ空女学院スクールアイドルクラブとのコラボ事業を今後も展開してほしい。	男	1998	神奈川県	横浜市	400万円以上 500万円未満	景品が当たる, ラブライブ！蓮ノ空女学院スクールアイドルクラブがきっかけで訪れたと知ってもらうことで、同作品と石川県の結びつきが強まることを期待して。	満足	10	
能登エリア	のとじま水族館	2026/01/04	同意する	日帰り	1泊	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	富山県	恋人	ドライブ・ツーリング	自家用車	自家用車			5,000円以上 10,000円未満	1,000円以上 3,000円未満	5,000円以上 10,000円未満	11回目以上	Instagram, タクシードライバーや地元の人	能登食祭市場		千里浜なぎさドライブウェイ		1,000円以上 3,000円未満	満足		満足		感じた	雨の日に屋根のないところを通ること	8		また行きたい（1年以内）	特になし	女	1987	石川県	七尾市	200万円以上 300万円未満	景品が当たる	満足	8	
能登エリア	のと鉄道（通常）	2026/01/04	同意する	4泊以上	石川県内には宿泊しない	石川県内には宿泊しない	愛知県、福井県、富山県、岐阜県、長野県、新潟県、	自分ひとり	地元の美味しいものを食べる, まちあるき、都市散策	在来線	在来線	満足	不自由ない本数と設備があったから。	使わない	1,000円以上 3,000円未満	3,000円以上 5,000円未満	初めて	インターネット・アプリ, 友人・知人	選択なし/該当施設なし		選択なし／該当施設なし		1,000円以上 3,000円未満	満足	対応が丁寧だったから。	満足	対応が丁寧だったから。	感じなかった		6		機会があれば行きたい	各施設への駅からのアクセスをタクシーに頼らない感じに整備されればより親切と思う。	男	2000	山形県	米沢市	100万円未満	景品が当たる	満足	7	海鮮が美味しい
能登エリア	のとじま水族館	2026/01/04	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	友人	温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）	新幹線	レンタカー	とても満足	道路が整備されていて良かったです	30,000円以上 40,000円未満	50,000円以上 100,000円未満	20,000円以上 30,000円未満	2～5回目	観光パンフレット・ポスター, インターネット・アプリ	選択なし/該当施設なし	21世紀美術館	選択なし／該当施設なし	近江町市場	1,000円以上 3,000円未満	とても満足		とても満足	学術とエンターテイメントのバランスがよく考えられている展示だと感じました。	感じなかった		10	オリジナルのジンベエザメぬいぐるみがあったら確実に買っていました。	機会があれば行きたい	能登牛を提供する飲食店を分かりやすくしていただけると良かったと思いました。また、金沢市内の循環バスの運行情報がリアルタイムで見られるウェブサイトがあるのはありがたかったですが、乗ろうと思っていたバスがなぜか金沢駅から発車せず、後発のバスが来るまで30分近く待たされたにもかかわらず通常運行と表示されていたため、改善の余地があると思いました。また、バス会社によって交通系ICが使えるかが異なる上、バス停における決済方法の表示が小さく、非常に分かりにくかったです。	男	1996	千葉県	千葉市	400万円以上 500万円未満	景品が当たる	とても満足	10	のとじま水族館はとても有意義な施設でした。教育に力を入れているのを感じました。
能登エリア	のとじま水族館	2026/01/04	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	日帰り金沢から	小学生以下連れの家族	ドライブ・ツーリング	県外から訪れていない（石川県内在住）	自家用車			使わない	1,000円以上 3,000円未満	1,000円未満	6～10回目	Instagram, Facebook	のとじま水族館		選択なし／該当施設なし		10,000円以上 20,000円未満	とても満足		とても満足		感じた	レストランが13：30ごろには閉まっていたこと	10		また行きたい（1年以内）	ジップラインなど体を動かせるところ	女	1979	石川県	金沢市	900万円以上 1,000万円未満	景品が当たる	満足	10	
能登エリア	のと鉄道（通常）	2026/01/04	同意する	1泊	1泊	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	自分ひとり	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, まちあるき、都市散策	新幹線, 在来線	タクシー, 在来線	満足	タクシーの人は親切でほっこりした。在来線の人も親切だった。ただ、本数の少なさ、無人駅の待合室寒さ、ホームの分かりにくさなど初めてだと戸惑う事が多かった。	20,000円以上 30,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	初めて	楽天トラベル	選択なし/該当施設なし	和倉温泉おまつり博物館、総湯、能登ミルク	選択なし／該当施設なし	能登中島	5,000円以上 10,000円未満	満足	能登牡蠣を食べに行ったが、ひとつは人気店でちょと居心地が悪く、待っているのが嫌になりキャンセルした。次の店は良い人たち居心地は良かったけど、能登ガキの良さは伝わらなかった	満足		感じなかった		5	荷物になるので公共交通機関では買いにくいものが多かった	また行きたい（1年以内）	地元の日本酒をお土産用にアルミカップのものを出してほしい。瓶は重い。いろいろちょっと楽しむのに、宿で少し飲むのに丁度いい	女	1981	大阪府	大阪市	500万円以上 600万円未満	なんとなく, 復興が進むといいなと思います。輪島の方も行きたいです。	満足	7	雪、のんびりした空気感、お祭り大好きなところ
能登エリア	のと鉄道（通常）	2026/01/05	同意する	4泊以上	4泊以上	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	自分ひとり	地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, まちあるき、都市散策	飛行機	在来線, 路線バス	不満	•珠洲から穴水へ向かう際、宇出津での乗り継ぎに関して、7分差で乗り継げないダイヤがあり、改善いただけると大変ありがたいです。(すずなり館前12:30→能登町役場前13:47、能登町役場前13:40→穴水駅前14:41)	30,000円以上 40,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	11回目以上	インターネット・アプリ	選択なし/該当施設なし	•金沢駅あんと	選択なし／該当施設なし	•道の駅すずなり	1,000円以上 3,000円未満	とても満足	•スマホアプリで簡潔に操作できるため	とても満足		感じなかった		10		また行きたい（1年以内）	特になし	男	1995	神奈川県	川崎市	400万円以上 500万円未満	景品が当たる	とても満足	10	
能登エリア	のと鉄道（通常）	2026/01/05	同意する	4泊以上	4泊以上	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	自分ひとり	友人・親戚を訪ねる	飛行機	在来線	不満	各所へのアクセスが悪い。	使わない	3,000円以上 5,000円未満	20,000円以上 30,000円未満	11回目以上	友人・知人	のとじま水族館		選択なし／該当施設なし	くり坊（新高岡のラーメン屋）	1,000円以上 3,000円未満	満足	おいしかった	満足		感じなかった		5		また行きたい（1年以内）	ショッピングかできる施設/能登に若者を定住させることができる大学の創設/大学周りのまちづくり/	男	1997	東京都	国分寺市	400万円以上 500万円未満	なんとなく	どちらでもない	5	冬は食べ物、春は祭、夏は海のアクティビティに温泉、秋も祭と四季折々で素敵なものがたくさんあります。どこに行くにも車は必須なので注意は必要です。
能登エリア	のと鉄道（通常）	2026/01/05	同意する	1泊	石川県内には宿泊しない	石川県内には宿泊しない	富山県	友人	なんとなく	在来線	在来線	満足	乗り換えの時間が意外と短い	3,000円以上 5,000円未満	3,000円以上 5,000円未満	10,000円以上 20,000円未満	初めて	友人・知人	選択なし/該当施設なし	調べずに何も来たので有名なものを何も知らなかった。	選択なし／該当施設なし	在来線だけで来てるため時間がカツカツ	3,000円以上 5,000円未満	どちらでもない	上記と同じ	どちらでもない	上記と同じ	感じなかった		6		機会があれば行きたい	特になし	男	2005	大阪府	大阪市	800万円以上 900万円未満	なんとなく, みつけちゃったから	とても満足	7	
能登エリア	のと鉄道（通常）	2026/01/05	同意する	4泊以上	4泊以上	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	夫婦2人	友人・親戚を訪ねる	新幹線, 在来線	在来線	満足	景色を眺めて来られたので	使わない	20,000円以上 30,000円未満	20,000円以上 30,000円未満	11回目以上	観光協会等の案内所	輪島朝市		選択なし／該当施設なし	帰宅の予定	20,000円以上 30,000円未満	満足	景色を眺めて来られたので	満足	景色を眺めて来られたので	感じなかった	暖房がやや強かった	8	トンネルのライトアップがあって楽しかったです	また行きたい（1年以内）	地震で飲食店が少なくなり寂しいです	男	1975	京都府	木津川市	100万円未満	景品が当たる	とても満足	10	冬の味覚を味わってほしい
能登エリア	のとじま水族館	2026/01/05	同意する	2泊	2泊	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	自分ひとり	温泉や露天風呂, テーマパーク（遊園地、動物園、博物館など）	飛行機	路線バス	不満	バスの本数が少ない	10,000円以上 20,000円未満	20,000円以上 30,000円未満	5,000円以上 10,000円未満	6～10回目	インターネット・アプリ	選択なし/該当施設なし		能登食祭市場		1,000円以上 3,000円未満	満足	水槽が良かった	満足	地元の魚が多い	感じなかった		7	特色ある飲食物が少ない	機会があれば行きたい	　能登地区の飲食店がまだまだ復興していないので、早く復興してほしい。	男	1967	千葉県	千葉市	800万円以上 900万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	満足	8	食べ物が美味しい
能登エリア	のとじま水族館	2026/01/05	同意する	1泊	1泊	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	小学生以下連れの家族	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）	自家用車	自家用車			10,000円以上 20,000円未満	3,000円以上 5,000円未満	20,000円以上 30,000円未満	6～10回目	インターネット・アプリ	道の駅のとじま		選択なし／該当施設なし	百楽荘	1,000円以上 3,000円未満	とても満足	震災後ですが、とても綺麗にされていた。	とても満足		感じなかった		10	少し寂れていたので、リニューアルしたり、商品の入れ替えを考えると良いと思う。	また行きたい（1年以内）	震災前にあった牡蠣まつり。長い七輪でずらっと座って焼くタイプが楽しかったです。	女	1975	石川県	金沢市	1,000万円以上 1,200万円未満	景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい	とても満足	10	食事が美味しい。美しい景色。
能登エリア	のとじま水族館	2026/01/05	同意する	3泊	3泊	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	小学生以下連れの家族	地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）, ドライブ・ツーリング	自家用車	自家用車			10,000円以上 20,000円未満	1,000円以上 3,000円未満	10,000円以上 20,000円未満	11回目以上	インターネット・アプリ	能登食祭市場		選択なし／該当施設なし		40,000円以上 50,000円未満	満足	ジンベイザメを見れた	満足	見応えがあった	感じなかった		9		また行きたい（1年以内）	特になし	男	1988	兵庫県	姫路市	1,000万円以上 1,200万円未満	景品が当たる	満足	9	ご飯もおいしいから
能登エリア	のとじま水族館	2026/01/05	同意する	1泊	1泊	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	夫婦2人	帰省	自家用車	自家用車			5,000円以上 10,000円未満	1,000円以上 3,000円未満	5,000円以上 10,000円未満	2～5回目	観光展・物産展, 新聞・雑誌・ガイドブック, ジンベエさんに会いに	選択なし/該当施設なし	和倉温泉駅	能登食祭市場		3,000円以上 5,000円未満	とても満足	だんらん	とても満足	ほのぼの	感じなかった		8	可愛い	また行きたい（1年以内）	石川県産の食材を使った食品や菓子	男	1972	愛知県	名古屋市	1,000万円以上 1,200万円未満	景品が当たる	とても満足	10	自然
能登エリア	ガーデンホテル金沢	2026/01/05	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	ぬいぐるみ	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, まちあるき、都市散策	新幹線, 在来線	路線バス, 徒歩			10,000円以上 20,000円未満	30,000円以上 40,000円未満	30,000円以上 40,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	金沢城	のとじま水族館		10,000円以上 20,000円未満	どちらでもない	部屋が綺麗だった・朝食がおいしかった	とても満足	部屋が綺麗・朝食がおいしい、駅からかなり近い割に安価	感じなかった		10	金沢駅に近いので、旅行最終日に荷物を預けると帰りまで楽に観光できる。能登方面の観光拠点としても、初日に金沢にとまり、電車移動もかなり容易な位置だった。	また行きたい（1年以内）	ラブライブ！蓮ノ空女学院スクールアイドルコラボと、そのスタンプラリー。夜の金沢城・兼六園・武家屋敷跡のライトアップの時期を増やして欲しい(5時でどこも閉まってしまうので夕方から夜がちょっと物足りない)。	男	1994	大阪府	箕面市	500万円以上 600万円未満	景品が当たる, 蓮ノ空女学院スクールアイドルクラブコラボの実績を書き残すため。	とても満足	10	食べ物が美味しいうえにおでん、魚、肉、お菓子、喫茶店、ラーメンやカレーなど、ご当地ものの種類が多いので飽きない。 雪が降ると兼六園や卯辰山公園などの景色が変わって綺麗。 蓮ノ空女学院スクールアイドルクラブとのコラボが（決して派手すぎず）継続的に、協力地も毎回変化して行われており、何度来ても楽しい。石川県の観光案内としてもスタンプラリーが便利だった。 石川県文化・近現代の日本文化についての博物館も種類が多く、かなり近くに集まっているので訪問しやすい。 
